date,revenue,day_of_week,is_weekend,is_public_holiday,holiday_name,season,is_anomaly,anomaly_type
2024-01-01,1717.15,Monday,False,True,New Year's Day,summer,False,
2024-01-02,1632.87,Tuesday,False,True,Day after New Year's Day,summer,False,
2024-01-03,1563.03,Wednesday,False,False,,summer,False,
2024-01-04,3671.59,Thursday,False,False,,summer,True,spike
2024-01-05,1702.81,Friday,False,False,,summer,False,
2024-01-06,2016.11,Saturday,True,False,,summer,False,
2024-01-07,1724.79,Sunday,True,False,,summer,False,
2024-01-08,1210.28,Monday,False,False,,summer,False,
2024-01-09,1317.52,Tuesday,False,False,,summer,False,
2024-01-10,1373.88,Wednesday,False,False,,summer,False,
2024-01-11,1744.37,Thursday,False,False,,summer,False,
2024-01-12,2143.3,Friday,False,False,,summer,False,
2024-01-13,2262.45,Saturday,True,False,,summer,False,
2024-01-14,1861.29,Sunday,True,False,,summer,False,
2024-01-15,1288.13,Monday,False,False,,summer,False,
2024-01-16,1228.6,Tuesday,False,False,,summer,False,
2024-01-17,1518.01,Wednesday,False,False,,summer,False,
2024-01-18,1504.7,Thursday,False,False,,summer,False,
2024-01-19,2159.55,Friday,False,False,,summer,False,
2024-01-20,2241.58,Saturday,True,False,,summer,False,
2024-01-21,1682.08,Sunday,True,False,,summer,False,
2024-01-22,1174.05,Monday,False,False,,summer,False,
2024-01-23,1448.33,Tuesday,False,False,,summer,False,
2024-01-24,1456.28,Wednesday,False,False,,summer,False,
2024-01-25,1573.88,Thursday,False,False,,summer,False,
2024-01-26,1960.91,Friday,False,False,,summer,False,
2024-01-27,2346.41,Saturday,True,False,,summer,False,
2024-01-28,1757.24,Sunday,True,False,,summer,False,
2024-01-29,1282.69,Monday,False,False,,summer,False,
2024-01-30,1364.77,Tuesday,False,False,,summer,False,
2024-01-31,1727.14,Wednesday,False,False,,summer,False,
2024-02-01,1576.73,Thursday,False,False,,summer,False,
2024-02-02,1935.06,Friday,False,False,,summer,False,
2024-02-03,2104.05,Saturday,True,False,,summer,False,
2024-02-04,1791.46,Sunday,True,False,,summer,False,
2024-02-05,1353.84,Monday,False,False,,summer,False,
2024-02-06,1764.82,Tuesday,False,True,Waitangi Day,summer,False,
2024-02-07,1375.4,Wednesday,False,False,,summer,False,
2024-02-08,1522.23,Thursday,False,False,,summer,False,
2024-02-09,2122.77,Friday,False,False,,summer,False,
2024-02-10,2384.39,Saturday,True,False,,summer,False,
2024-02-11,1781.51,Sunday,True,False,,summer,False,
2024-02-12,1175.58,Monday,False,False,,summer,False,
2024-02-13,1343.8,Tuesday,False,False,,summer,False,
2024-02-14,1488.27,Wednesday,False,False,,summer,False,
2024-02-15,1658.23,Thursday,False,False,,summer,False,
2024-02-16,2158.41,Friday,False,False,,summer,False,
2024-02-17,2290.82,Saturday,True,False,,summer,False,
2024-02-18,1800.06,Sunday,True,False,,summer,False,
2024-02-19,1248.4,Monday,False,False,,summer,False,
2024-02-20,1349.81,Tuesday,False,False,,summer,False,
2024-02-21,850.56,Wednesday,False,False,,summer,True,drop
2024-02-22,1439.74,Thursday,False,False,,summer,False,
2024-02-23,1966.15,Friday,False,False,,summer,False,
2024-02-24,2165.88,Saturday,True,False,,summer,False,
2024-02-25,1620.06,Sunday,True,False,,summer,False,
2024-02-26,1214.36,Monday,False,False,,summer,False,
2024-02-27,1477.08,Tuesday,False,False,,summer,False,
2024-02-28,1372.37,Wednesday,False,False,,summer,False,
2024-02-29,1755.96,Thursday,False,False,,summer,False,
2024-03-01,1455.08,Friday,False,False,,autumn,False,
2024-03-02,1825.23,Saturday,True,False,,autumn,False,
2024-03-03,2981.73,Sunday,True,False,,autumn,True,spike
2024-03-04,1083.27,Monday,False,False,,autumn,False,
2024-03-05,1161.97,Tuesday,False,False,,autumn,False,
2024-03-06,1306.74,Wednesday,False,False,,autumn,False,
2024-03-07,1320.21,Thursday,False,False,,autumn,False,
2024-03-08,1619.26,Friday,False,False,,autumn,False,
2024-03-09,2004.2,Saturday,True,False,,autumn,False,
2024-03-10,1401.0,Sunday,True,False,,autumn,False,
2024-03-11,929.14,Monday,False,False,,autumn,False,
2024-03-12,999.74,Tuesday,False,False,,autumn,False,
2024-03-13,1138.37,Wednesday,False,False,,autumn,False,
2024-03-14,1412.12,Thursday,False,False,,autumn,False,
2024-03-15,1700.62,Friday,False,False,,autumn,False,
2024-03-16,1979.07,Saturday,True,False,,autumn,False,
2024-03-17,1374.14,Sunday,True,False,,autumn,False,
2024-03-18,1047.87,Monday,False,False,,autumn,False,
2024-03-19,1154.44,Tuesday,False,False,,autumn,False,
2024-03-20,1198.35,Wednesday,False,False,,autumn,False,
2024-03-21,1407.73,Thursday,False,False,,autumn,False,
2024-03-22,1592.42,Friday,False,False,,autumn,False,
2024-03-23,1821.0,Saturday,True,False,,autumn,False,
2024-03-24,1379.32,Sunday,True,False,,autumn,False,
2024-03-25,935.75,Monday,False,False,,autumn,False,
2024-03-26,1142.25,Tuesday,False,False,,autumn,False,
2024-03-27,1182.61,Wednesday,False,False,,autumn,False,
2024-03-28,1359.46,Thursday,False,False,,autumn,False,
2024-03-29,2357.27,Friday,False,True,Good Friday,autumn,False,
2024-03-30,1942.47,Saturday,True,False,,autumn,False,
2024-03-31,1498.51,Sunday,True,False,,autumn,False,
2024-04-01,1385.9,Monday,False,True,Easter Monday,autumn,False,
2024-04-02,1062.18,Tuesday,False,False,,autumn,False,
2024-04-03,1220.92,Wednesday,False,False,,autumn,False,
2024-04-04,1174.77,Thursday,False,False,,autumn,False,
2024-04-05,1486.8,Friday,False,False,,autumn,False,
2024-04-06,1677.02,Saturday,True,False,,autumn,False,
2024-04-07,1309.26,Sunday,True,False,,autumn,False,
2024-04-08,1067.84,Monday,False,False,,autumn,False,
2024-04-09,1019.77,Tuesday,False,False,,autumn,False,
2024-04-10,1191.58,Wednesday,False,False,,autumn,False,
2024-04-11,1499.26,Thursday,False,False,,autumn,False,
2024-04-12,1633.53,Friday,False,False,,autumn,False,
2024-04-13,1986.13,Saturday,True,False,,autumn,False,
2024-04-14,1316.51,Sunday,True,False,,autumn,False,
2024-04-15,1017.74,Monday,False,False,,autumn,False,
2024-04-16,1015.86,Tuesday,False,False,,autumn,False,
2024-04-17,1195.43,Wednesday,False,False,,autumn,False,
2024-04-18,1449.4,Thursday,False,False,,autumn,False,
2024-04-19,1449.1,Friday,False,False,,autumn,False,
2024-04-20,1940.65,Saturday,True,False,,autumn,False,
2024-04-21,1449.83,Sunday,True,False,,autumn,False,
2024-04-22,985.56,Monday,False,False,,autumn,False,
2024-04-23,972.23,Tuesday,False,False,,autumn,False,
2024-04-24,1235.85,Wednesday,False,False,,autumn,False,
2024-04-25,1755.77,Thursday,False,True,ANZAC Day,autumn,False,
2024-04-26,1712.76,Friday,False,False,,autumn,False,
2024-04-27,1878.75,Saturday,True,False,,autumn,False,
2024-04-28,1605.09,Sunday,True,False,,autumn,False,
2024-04-29,1014.93,Monday,False,False,,autumn,False,
2024-04-30,1009.39,Tuesday,False,False,,autumn,False,
2024-05-01,1246.38,Wednesday,False,False,,autumn,False,
2024-05-02,1382.0,Thursday,False,False,,autumn,False,
2024-05-03,1864.29,Friday,False,False,,autumn,False,
2024-05-04,2000.77,Saturday,True,False,,autumn,False,
2024-05-05,1463.39,Sunday,True,False,,autumn,False,
2024-05-06,1155.87,Monday,False,False,,autumn,False,
2024-05-07,994.86,Tuesday,False,False,,autumn,False,
2024-05-08,1165.87,Wednesday,False,False,,autumn,False,
2024-05-09,1257.43,Thursday,False,False,,autumn,False,
2024-05-10,2895.12,Friday,False,False,,autumn,True,spike
2024-05-11,1668.92,Saturday,True,False,,autumn,False,
2024-05-12,1495.07,Sunday,True,False,,autumn,False,
2024-05-13,1016.35,Monday,False,False,,autumn,False,
2024-05-14,970.05,Tuesday,False,False,,autumn,False,
2024-05-15,1128.93,Wednesday,False,False,,autumn,False,
2024-05-16,1392.16,Thursday,False,False,,autumn,False,
2024-05-17,921.79,Friday,False,False,,autumn,True,drop
2024-05-18,2175.06,Saturday,True,False,,autumn,False,
2024-05-19,1754.43,Sunday,True,False,,autumn,False,
2024-05-20,1069.05,Monday,False,False,,autumn,False,
2024-05-21,1012.38,Tuesday,False,False,,autumn,False,
2024-05-22,1019.18,Wednesday,False,False,,autumn,False,
2024-05-23,1387.19,Thursday,False,False,,autumn,False,
2024-05-24,1572.1,Friday,False,False,,autumn,False,
2024-05-25,1813.15,Saturday,True,False,,autumn,False,
2024-05-26,1353.1,Sunday,True,False,,autumn,False,
2024-05-27,1023.09,Monday,False,False,,autumn,False,
2024-05-28,1193.17,Tuesday,False,False,,autumn,False,
2024-05-29,1244.2,Wednesday,False,False,,autumn,False,
2024-05-30,1340.86,Thursday,False,False,,autumn,False,
2024-05-31,1542.14,Friday,False,False,,autumn,False,
2024-06-01,1380.57,Saturday,True,False,,winter,False,
2024-06-02,1162.31,Sunday,True,False,,winter,False,
2024-06-03,1182.26,Monday,False,True,King's Birthday,winter,False,
2024-06-04,1066.67,Tuesday,False,False,,winter,False,
2024-06-05,1055.33,Wednesday,False,False,,winter,False,
2024-06-06,1245.14,Thursday,False,False,,winter,False,
2024-06-07,1372.15,Friday,False,False,,winter,False,
2024-06-08,1443.03,Saturday,True,False,,winter,False,
2024-06-09,1115.98,Sunday,True,False,,winter,False,
2024-06-10,828.5,Monday,False,False,,winter,False,
2024-06-11,1093.63,Tuesday,False,False,,winter,False,
2024-06-12,975.81,Wednesday,False,False,,winter,False,
2024-06-13,1231.82,Thursday,False,False,,winter,False,
2024-06-14,1326.0,Friday,False,False,,winter,False,
2024-06-15,1712.96,Saturday,True,False,,winter,False,
2024-06-16,1246.6,Sunday,True,False,,winter,False,
2024-06-17,868.51,Monday,False,False,,winter,False,
2024-06-18,931.45,Tuesday,False,False,,winter,False,
2024-06-19,989.73,Wednesday,False,False,,winter,False,
2024-06-20,1195.58,Thursday,False,False,,winter,False,
2024-06-21,1377.22,Friday,False,False,,winter,False,
2024-06-22,3092.91,Saturday,True,False,,winter,True,spike
2024-06-23,1085.72,Sunday,True,False,,winter,False,
2024-06-24,891.68,Monday,False,False,,winter,False,
2024-06-25,1052.56,Tuesday,False,False,,winter,False,
2024-06-26,1057.81,Wednesday,False,False,,winter,False,
2024-06-27,1143.43,Thursday,False,False,,winter,False,
2024-06-28,1973.59,Friday,False,True,Matariki,winter,False,
2024-06-29,1760.71,Saturday,True,False,,winter,False,
2024-06-30,1230.58,Sunday,True,False,,winter,False,
2024-07-01,850.62,Monday,False,False,,winter,False,
2024-07-02,1017.21,Tuesday,False,False,,winter,False,
2024-07-03,1080.27,Wednesday,False,False,,winter,False,
2024-07-04,1296.21,Thursday,False,False,,winter,False,
2024-07-05,1450.19,Friday,False,False,,winter,False,
2024-07-06,1437.99,Saturday,True,False,,winter,False,
2024-07-07,1076.99,Sunday,True,False,,winter,False,
2024-07-08,995.69,Monday,False,False,,winter,False,
2024-07-09,1063.36,Tuesday,False,False,,winter,False,
2024-07-10,1029.44,Wednesday,False,False,,winter,False,
2024-07-11,1119.0,Thursday,False,False,,winter,False,
2024-07-12,1596.34,Friday,False,False,,winter,False,
2024-07-13,1452.97,Saturday,True,False,,winter,False,
2024-07-14,1122.79,Sunday,True,False,,winter,False,
2024-07-15,463.39,Monday,False,False,,winter,True,drop
2024-07-16,905.0,Tuesday,False,False,,winter,False,
2024-07-17,1044.02,Wednesday,False,False,,winter,False,
2024-07-18,1139.29,Thursday,False,False,,winter,False,
2024-07-19,1467.84,Friday,False,False,,winter,False,
2024-07-20,1773.65,Saturday,True,False,,winter,False,
2024-07-21,1218.12,Sunday,True,False,,winter,False,
2024-07-22,924.84,Monday,False,False,,winter,False,
2024-07-23,781.23,Tuesday,False,False,,winter,False,
2024-07-24,1040.37,Wednesday,False,False,,winter,False,
2024-07-25,1076.51,Thursday,False,False,,winter,False,
2024-07-26,1289.88,Friday,False,False,,winter,False,
2024-07-27,1482.16,Saturday,True,False,,winter,False,
2024-07-28,1177.03,Sunday,True,False,,winter,False,
2024-07-29,943.98,Monday,False,False,,winter,False,
2024-07-30,835.34,Tuesday,False,False,,winter,False,
2024-07-31,1047.0,Wednesday,False,False,,winter,False,
2024-08-01,1109.67,Thursday,False,False,,winter,False,
2024-08-02,1391.77,Friday,False,False,,winter,False,
2024-08-03,1722.03,Saturday,True,False,,winter,False,
2024-08-04,1261.42,Sunday,True,False,,winter,False,
2024-08-05,973.63,Monday,False,False,,winter,False,
2024-08-06,922.95,Tuesday,False,False,,winter,False,
2024-08-07,1849.42,Wednesday,False,False,,winter,True,spike
2024-08-08,1133.71,Thursday,False,False,,winter,False,
2024-08-09,1456.97,Friday,False,False,,winter,False,
2024-08-10,1616.67,Saturday,True,False,,winter,False,
2024-08-11,1104.44,Sunday,True,False,,winter,False,
2024-08-12,885.9,Monday,False,False,,winter,False,
2024-08-13,951.56,Tuesday,False,False,,winter,False,
2024-08-14,1254.79,Wednesday,False,False,,winter,False,
2024-08-15,1327.71,Thursday,False,False,,winter,False,
2024-08-16,1331.68,Friday,False,False,,winter,False,
2024-08-17,1557.5,Saturday,True,False,,winter,False,
2024-08-18,1067.77,Sunday,True,False,,winter,False,
2024-08-19,837.97,Monday,False,False,,winter,False,
2024-08-20,958.1,Tuesday,False,False,,winter,False,
2024-08-21,1145.2,Wednesday,False,False,,winter,False,
2024-08-22,1087.05,Thursday,False,False,,winter,False,
2024-08-23,1354.44,Friday,False,False,,winter,False,
2024-08-24,2462.87,Saturday,True,False,,winter,True,spike
2024-08-25,1193.62,Sunday,True,False,,winter,False,
2024-08-26,804.78,Monday,False,False,,winter,False,
2024-08-27,894.92,Tuesday,False,False,,winter,False,
2024-08-28,971.18,Wednesday,False,False,,winter,False,
2024-08-29,1145.68,Thursday,False,False,,winter,False,
2024-08-30,1228.26,Friday,False,False,,winter,False,
2024-08-31,1407.06,Saturday,True,False,,winter,False,
2024-09-01,1748.38,Sunday,True,False,,spring,False,
2024-09-02,974.58,Monday,False,False,,spring,False,
2024-09-03,1053.1,Tuesday,False,False,,spring,False,
2024-09-04,1479.79,Wednesday,False,False,,spring,False,
2024-09-05,1757.42,Thursday,False,False,,spring,False,
